[23674, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-03-25 06:00:00', '200 block Forbes Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23677, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-03-25 07:00:00', '200 block Forbes Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23698, 'OFFENSE 2.0', '13(a)(16)', 'Possession of Controlled Substance', '2015-03-25 17:06:00', '6th St & Fort Duquesne Blvd', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23701, 'OFFENSE 2.0', '13(a)(30)', 'Possession w/ Intent to Del. Controlled Substance', '2015-03-25 17:06:00', '6th St & Fort Duquesne Blvd', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23860, 'OFFENSE 2.0', '3934', 'Theft from Vehicle', '2015-03-26 05:42:00', '18th St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23861, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-03-26 05:42:00', '18th St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23882, 'OFFENSE 2.0', '3921(a)', 'Theft by Unlawful Taking or Disposition - Movable item', '2015-03-26 20:00:00', '400 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24009, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-03-27 11:55:00', '300 block Wood St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24010, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-03-27 12:05:00', '500 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24013, 'OFFENSE 2.0', '3934', 'Theft from Vehicle', '2015-03-27 14:20:00', '100 block Washington Pl', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24161, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-03-28 10:00:00', '2300 block Railroad St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24167, 'OFFENSE 2.0', '3934', 'Theft from Vehicle', '2015-03-28 12:00:00', 'Penn Ave & Seventh St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24168, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-03-28 12:00:00', 'Penn Ave & Seventh St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24590, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-03-30 01:23:00', '2500 block E Carson St', 'Golden Triangle/Civic Arena', 3] : could not match any neighborhood
[24591, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-03-30 01:23:00', '2500 block E Carson St', 'Golden Triangle/Civic Arena', 3] : could not match any neighborhood
[24558, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-03-30 03:17:00', '900 block Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24559, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-03-30 09:00:00', '200 block Kirkpatrick St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24568, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-03-30 16:22:00', '300 block 4th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24588, 'OFFENSE 2.0', '2702', 'Aggravated Assault.', '2015-03-30 21:50:00', '900 block Liberty Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24713, 'OFFENSE 2.0', '13(a)(16)', 'Possession of Controlled Substance', '2015-03-31 14:17:00', '400 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[23532, 'OFFENSE 2.0', '2702', 'Aggravated Assault.', '2015-04-01 02:00:00', 'Zone 2', 'Outside City', 12] : could not match any neighborhood
[24923, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-01 16:45:00', '400 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25088, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-04-02 01:00:00', '900 block Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25100, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-04-02 13:00:00', '500 block Market St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25102, 'OFFENSE 2.0', '13(a)(16)', 'Possession of Controlled Substance', '2015-04-02 13:55:00', '400 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25103, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-02 13:55:00', '400 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25124, 'OFFENSE 2.0', '2702', 'Aggravated Assault.', '2015-04-02 20:00:00', '300 block 6th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25125, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-02 20:00:00', '300 block 6th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24908, 'OFFENSE 2.0', '3934', 'Theft from Vehicle', '2015-04-07 02:00:00', '900 block Exchange Way', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[24909, 'OFFENSE 2.0', '3502', 'Burglary.', '2015-04-07 04:28:00', '900 block Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25424, 'OFFENSE 2.0', '3304', 'Criminal Mischief.', '2015-04-07 15:55:00', '400 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25758, 'OFFENSE 2.0', '2709', 'Harassment (Non-Specific)', '2015-04-09 14:08:00', '300 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25780, 'OFFENSE 2.0', '3502', 'Burglary.', '2015-04-09 21:15:00', '300 block Wood St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25781, 'OFFENSE 2.0', '3701', 'Robbery.', '2015-04-09 22:30:00', '100 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25938, 'OFFENSE 2.0', '3921(a)', 'Theft by Unlawful Taking or Disposition - Movable item', '2015-04-10 06:00:00', '11th St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[25941, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-10 12:01:00', '400 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
